"id","type","uz","ru","prompt"
"pronoun-88","pronoun","seni","тебя","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""seni"" meaning ""тебя"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"pronoun-89","pronoun","uni","его, ее","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""uni"" meaning ""его, ее"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"pronoun-90","pronoun","menda","у меня есть","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""menda"" meaning ""у меня есть"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"pronoun-91","pronoun","sizda","у вас есть","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""sizda"" meaning ""у вас есть"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"question-92","question","nima","что","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""nima"" meaning ""что"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"question-93","question","nimani","что, объект","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""nimani"" meaning ""что, объект"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"question-94","question","kim","кто","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""kim"" meaning ""кто"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"question-95","question","kimni","кого","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""kimni"" meaning ""кого"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"question-96","question","nega","почему","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""nega"" meaning ""почему"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"question-97","question","nimaga","почему, зачем","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""nimaga"" meaning ""почему, зачем"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"question-98","question","qachon","когда","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""qachon"" meaning ""когда"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"question-99","question","qayerda","где","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""qayerda"" meaning ""где"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"question-100","question","qayerga","куда","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""qayerga"" meaning ""куда"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"question-101","question","qayerdan","откуда","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""qayerdan"" meaning ""откуда"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"question-102","question","qanday","как, какой","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""qanday"" meaning ""как, какой"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"question-103","question","qancha","сколько","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""qancha"" meaning ""сколько"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"question-104","question","nechta","сколько штук","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""nechta"" meaning ""сколько штук"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-105","number","nol","ноль","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""nol"" meaning ""ноль"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-106","number","bir","один","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""bir"" meaning ""один"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-107","number","ikki","два","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""ikki"" meaning ""два"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-108","number","uch","три","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""uch"" meaning ""три"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-109","number","toʻrt","четыре","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""toʻrt"" meaning ""четыре"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-110","number","besh","пять","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""besh"" meaning ""пять"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-111","number","olti","шесть","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""olti"" meaning ""шесть"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-112","number","yetti","семь","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""yetti"" meaning ""семь"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-113","number","sakkiz","восемь","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""sakkiz"" meaning ""восемь"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-114","number","toʻqqiz","девять","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""toʻqqiz"" meaning ""девять"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-115","number","oʻn","десять","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""oʻn"" meaning ""десять"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-116","number","yigirma","двадцать","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""yigirma"" meaning ""двадцать"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-117","number","oʻttiz","тридцать","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""oʻttiz"" meaning ""тридцать"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-118","number","qirq","сорок","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""qirq"" meaning ""сорок"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-119","number","ellik","пятьдесят","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""ellik"" meaning ""пятьдесят"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-120","number","oltmish","шестьдесят","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""oltmish"" meaning ""шестьдесят"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-121","number","yetmish","семьдесят","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""yetmish"" meaning ""семьдесят"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-122","number","sakson","восемьдесят","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""sakson"" meaning ""восемьдесят"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-123","number","toʻqson","девяносто","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""toʻqson"" meaning ""девяносто"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-124","number","yuz","сто","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""yuz"" meaning ""сто"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"number-125","number","ming","тысяча","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""ming"" meaning ""тысяча"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-126","other","hamma","все","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""hamma"" meaning ""все"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-127","other","hamma narsa","все, всё","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""hamma narsa"" meaning ""все, всё"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-128","other","katta","большой","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""katta"" meaning ""большой"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-129","other","kichkina","маленький","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""kichkina"" meaning ""маленький"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-130","other","yaxshi","хороший, хорошо","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""yaxshi"" meaning ""хороший, хорошо"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-131","other","yomon","плохой, плохо","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""yomon"" meaning ""плохой, плохо"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-132","other","qiziq","интересный","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""qiziq"" meaning ""интересный"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-133","other","qiziqarli","увлекательный","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""qiziqarli"" meaning ""увлекательный"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-134","other","uzoq","далеко, долго","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""uzoq"" meaning ""далеко, долго"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-135","other","yillik","годовой","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""yillik"" meaning ""годовой"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-136","other","bugun","сегодня","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""bugun"" meaning ""сегодня"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-137","other","bugungi","сегодняшний","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""bugungi"" meaning ""сегодняшний"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-138","other","kecha","вчера","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""kecha"" meaning ""вчера"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-139","other","ertalab","утром","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""ertalab"" meaning ""утром"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-140","other","hozir","сейчас","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""hozir"" meaning ""сейчас"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-141","other","hozirgina","только что","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""hozirgina"" meaning ""только что"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-142","other","oxirgi","последний","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""oxirgi"" meaning ""последний"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-143","other","marta","раз","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""marta"" meaning ""раз"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-144","other","haqida","о, об","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""haqida"" meaning ""о, об"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-145","other","uchun","для, за","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""uchun"" meaning ""для, за"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-146","other","emas","не для имен","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""emas"" meaning ""не для имен"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-147","other","bor","есть, имеется","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""bor"" meaning ""есть, имеется"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-148","other","yoʻq","нет, отсутствует","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""yoʻq"" meaning ""нет, отсутствует"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-149","other","Salom!","здравствуйте","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""Salom!"" meaning ""здравствуйте"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-150","other","Rahmat","спасибо","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""Rahmat"" meaning ""спасибо"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-151","other","Yaxshimisiz?","как вы?","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""Yaxshimisiz?"" meaning ""как вы?"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-152","other","Ishlar qanday?","как дела?","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""Ishlar qanday?"" meaning ""как дела?"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-153","other","Boʻladi!","ладно, договорились","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""Boʻladi!"" meaning ""ладно, договорились"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-154","other","Qarang!","смотрите","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""Qarang!"" meaning ""смотрите"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-155","other","oz","мало","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""oz"" meaning ""мало"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-156","other","kam","мало, недостаточно","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""kam"" meaning ""мало, недостаточно"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-157","other","koʻp","много","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""koʻp"" meaning ""много"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-158","other","mazali","вкусный, вкусно","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""mazali"" meaning ""вкусный, вкусно"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-159","other","mazali emas","невкусно, не вкусный","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""mazali emas"" meaning ""невкусно, не вкусный"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-160","other","qimmat","дорогой, дорого","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""qimmat"" meaning ""дорогой, дорого"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-161","other","arzon","дешевый, дешево","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""arzon"" meaning ""дешевый, дешево"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-162","noun","mol goʻshti","говядина","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""mol goʻshti"" meaning ""говядина"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-163","noun","goʻsht","мясо","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""goʻsht"" meaning ""мясо"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-164","noun","dars","урок","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""dars"" meaning ""урок"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-165","other","va","и","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""va"" meaning ""и"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-166","other","darsdan keyin","после урока","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""darsdan keyin"" meaning ""после урока"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-167","other","darsdan oldin","до урока","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""darsdan oldin"" meaning ""до урока"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-168","other","oʻtgan hafta","прошлая неделя","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""oʻtgan hafta"" meaning ""прошлая неделя"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-169","other","har kuni","каждый день","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""har kuni"" meaning ""каждый день"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-170","noun","kechki ovqat","ужин","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""kechki ovqat"" meaning ""ужин"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-171","noun","kun","день","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""kun"" meaning ""день"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-172","other","bugungi kuningiz","ваш сегодняшний день","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""bugungi kuningiz"" meaning ""ваш сегодняшний день"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-173","other","ajoyib","великолепный, замечательный","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""ajoyib"" meaning ""великолепный, замечательный"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-174","other","ajoyib kun","великолепный день","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""ajoyib kun"" meaning ""великолепный день"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-175","other","mening","мой, моя, мое","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""mening"" meaning ""мой, моя, мое"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"other-176","other","Mening bugungi kunim ajoyib oʻtdi","мой сегодняшний день прошел великолепно","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""Mening bugungi kunim ajoyib oʻtdi"" meaning ""мой сегодняшний день прошел великолепно"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
